decision_id,date,authority,decision,rationale,alternatives,affected_tracks,evidence_path,status
D-T0-01,2026-07-27,"repository owner (user; asserted in Codex conversation)",approved_in_principle,"User approved charter, sponsor/host, decision rights, ethics/security boundary, and owner/deputy assignments.","Defer approval",T0,docs/governance/t012-decision-handoff.md,pending_authority_verification
D-T1-01,2026-07-27,"repository owner (user; asserted in Codex conversation)",approved_in_principle,"User approved completion of pilot adjudication, methods resolutions, and v0.3 methods freeze.","Defer approval",T1,docs/governance/t012-decision-handoff.md,pending_pilot_evidence
D-T2-01,2026-07-27,"repository owner (user; asserted in Codex conversation)",approved_in_principle,"User approved the pilot universe and local-verification strategy.","Defer approval",T2,docs/governance/t012-decision-handoff.md,pending_authority_verification
D-T2-02,2026-07-27,"repository owner (user; asserted in Codex conversation)",approved_in_principle,"User approved supplying reviewed institutional maps, multilingual search logs, and coverage assessments.","Defer approval",T2,docs/governance/t012-decision-handoff.md,pending_reviewed_records
D-T2-03,2026-07-27,"repository owner (user; asserted in Codex conversation)",approved_in_principle,"User approved completion or transparent closure of priority direct enquiries.","Defer approval",T2,docs/governance/t012-decision-handoff.md,pending_enquiry_records
D-T2-04,2026-07-27,"repository owner (user; asserted in Codex conversation)",approved_in_principle,"User approved the global universe and coverage-review cycle.","Defer approval",T2,docs/governance/t012-decision-handoff.md,pending_global_census_evidence
D-OPS-001,2026-08-01,"repository owner (explicit owner approval in Codex conversation)",recorded_owner_approval,"Proceed with the bounded pilot and autonomous analyst-agent operating model; retain fail-closed gates and require explicit approval before any outbound enquiry.","Pause all work; delegate authority to an external host",T0;T1;T2,docs/governance/single-owner-agent-operating-model.md;docs/methods/pilot-scope-decision-2026-08-01.md,implementation_authorized_evidence_pending
D-T1-ADJ-2026-08-01,2026-08-01,"repository owner (explicit owner approval in Codex conversation)",recorded_owner_approval,"Accepted the proposed fail-closed dispositions in the T1 owner decision packet; disputed indicators remain experimental, descriptive-only, quarantined, or excluded as recorded. No v0.3 methods freeze or public promotion is asserted.","Relax defaults; defer all adjudication",T1,docs/methods/t1-owner-decision-packet-2026-08-01.md,implementation_authorized_independent_review_pending
D-EXT-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_operating_policy,"Approved the recommended external-gate plan: hybrid authority model (owner retains governance and release authority, specialist gates require independent named reviewers); use a smaller evidence-complete pilot subset; publish only sources with clearly permissive rights; require explicit approval for each outbound enquiry; keep the candidate private and unpublished until G5/G6; and apply fail-closed contingency statuses for missing authority, evidence, rights, or assurance.","All-owner approvals; full 23-jurisdiction pilot; resolve every source before any internal use; no outbound contact; publish a preview; pause all work",T0;T1;T2;T3;T4;T5;T6;T7;T8;T9,docs/governance/external-authority-gate-plan-2026-08-02.md;docs/governance/programme-gate-resolution-plan-2026-08-02.md,repository_policy_approved_external_authorities_pending
D-AGENT-PANEL-2026-08-02,2026-08-02,"repository owner (explicit approval in Codex conversation)",approved_agent_panel_operating_model,"Approved routing all preparatory advice and specialist-review requests through role-separated digest-bound agent panels with an orchestrating synthesis. Reports must include options, recommendation, rationale, contingencies, evidence references, conflicts/abstentions and verdict. Agents may advise and prepare controls but cannot appoint authority, create rights or consent, sign or accept gates, authorize contact/publication, attest custody/funding, or replace participants.","Human committee as default; owner-only review without panel; treat panel consensus as acceptance",T0;T1;T2;T3;T4;T5;T6;T7;T8;T9,docs/governance/external-authority-gate-plan-2026-08-02.md;docs/governance/track-external-gate-plan-2026-08-02.md,policy_approved_panel_advice_only_authority_pending
