universe_entry_id,jurisdiction_id,inclusion_status,inclusion_reason,search_priority,owner_role,review_status,notes
UNIVERSE-INT,INT,included,"Approved pilot/global universe scope",critical,repository-owner,accepted,"Owner-approved pilot inclusion; readiness still requires reviewed coverage, searches, and enquiry outcome."
UNIVERSE-AUS,AUS,included,"Approved pilot/global universe scope",critical,repository-owner,accepted,"Owner-approved pilot inclusion; readiness still requires reviewed coverage, searches, and enquiry outcome."
UNIVERSE-GBR,GBR,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-CAN,CAN,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-USA,USA,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-GBR-EAW,GBR-EAW,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-NZL,NZL,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-SGP,SGP,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-CAN-BC,CAN-BC,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-USA-CA,USA-CA,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-USA-MN,USA-MN,included,"Approved pilot/global universe scope",critical,repository-owner,accepted,"Owner-approved pilot inclusion; readiness still requires reviewed coverage, searches, and enquiry outcome."
UNIVERSE-ESP,ESP,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-BRA,BRA,included,"Approved pilot/global universe scope",critical,repository-owner,accepted,"Owner-approved pilot inclusion; readiness still requires reviewed coverage, searches, and enquiry outcome."
UNIVERSE-IND,IND,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-MEX,MEX,included,"Approved pilot/global universe scope; formal owner review pending",critical,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-ZAF,ZAF,included,"Approved pilot/global universe scope",critical,repository-owner,accepted,"Owner-approved pilot inclusion; readiness still requires reviewed coverage, searches, and enquiry outcome."
UNIVERSE-JPN,JPN,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-FRA,FRA,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-NLD,NLD,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-SWE,SWE,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-KEN,KEN,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-CHL,CHL,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
UNIVERSE-PHL,PHL,included,"Approved pilot/global universe scope; formal owner review pending",high,analyst-agent,draft,"Prepared from the controlled jurisdiction register; inclusion is not a readiness decision."
